"Gene","K562.CS","K562.adjusted.p.value","max.new.gamma","max.new.p.value","max.old.gamma","max.old.p.value","CD437.gamma","CD437.p.value"
"RPL14",-3.428,0.000584984,-0.172868883385,0.000331681136232,-0.0838746132124,5.38833711706e-05,-0.0361768407646,0.000911070751211
"RPL23",-3.456,0.000327304,-0.187999166009,6.48602324131e-05,-0.0825284160396,7.79873559327e-07,-0.033548839599,7.28728195749e-06
"RPL3",-3.483,3.04e-05,-0.225460292471,0.000876873964376,-0.107161641664,0.000235826017999,-0.0362054866606,5.60425422201e-06
"RPL31",-3.049,0.000632128,-0.275031826504,4.16046164445e-06,-0.0784747115621,3.52710987325e-08,-0.0369967900369,6.67710869436e-05
"RPL32",-4.595,2.69e-05,-0.263162346721,4.73213481023e-06,-0.104998913166,3.84749854584e-07,-0.0424466230964,1.42774725697e-06
"RPL8",-5.596,3.04e-05,-0.194847544527,2.12462511489e-06,-0.0583205405544,9.70875226217e-08,-0.0385547406136,1.2312486172e-07
"RPS15",-4.427,4.04e-05,-0.0990595000538,0.000296153031662,-0.0597627504631,0.000400702144484,-0.0284596106228,1.99777974624e-05
"RPS27A",-2.885,0.000211641,-0.237489289327,0.000548965680439,-0.093808951525,0.000554301851695,-0.0308298771087,0.000129149368032
"RPS4X",-4.826,8.66e-05,-0.2559012243,0.000515418464818,-0.102255884451,1.81017706328e-10,-0.034001031595,7.79770197679e-05
"RPS6",-4.357,2.69e-05,-0.212132176718,2.4326460964e-06,-0.0877972463155,1.1587605305e-05,-0.030064363252,0.000538565304031
"SARS",-4.044,2.69e-05,-0.353145968832,0.000229321681786,-0.100558669711,0.000198181573848,-0.0399429433588,0.000701481659211
"SFPQ",-3.774,7.12e-05,-0.123592483462,0.000149869433665,-0.0478188194271,0.00038495698136,-0.0322942701057,0.000305934280717
"SNRPF",-4.382,0.000450546,-0.27822646232,2.22560396288e-07,-0.109551501268,4.43554711062e-09,-0.0359909577146,6.24073986827e-09
"SUPV3L1",-4.293,0.000197587,-0.382174490192,9.3855260445e-07,-0.144138191902,1.62522423194e-06,-0.043733886025,5.89848732737e-05
"TARS2",-2.917,0.000113799,-0.400409979942,9.72921571884e-05,-0.133663472564,5.86134027961e-05,-0.0469257029666,0.000190515924955
"TRMT10C",-1.768,0.000905761,-0.346442372878,0.000140417376909,-0.148238273198,0.000752423502416,-0.0575981360807,2.25886800733e-05
"TRRAP",-2.91,0.000185059,-0.153211076883,0.000226454961621,-0.0583713632257,0.000635732631554,-0.0414489685831,3.00550491931e-09
"UBA1",-3.107,0.000229595,-0.37117058043,7.91218467781e-06,-0.117358739006,2.29067779123e-06,-0.0507394014156,1.79055402866e-06
"USP39",-3.737,0.00029248,-0.293001475489,4.52218118579e-05,-0.0918371297567,7.14713901639e-06,-0.0374241969134,1.08294021554e-05
"VPS29",-2.764,4.1e-05,-0.29292756528,3.70712758594e-07,-0.106375015238,2.12133171973e-06,-0.0341613184401,2.00666491816e-06
"WDR43",-4.138,7.42e-05,-0.281232999375,1.99377486847e-05,-0.0877463693814,1.31080708779e-05,-0.0345320516388,6.80786241385e-05
"WDR61",-3.433,8.65e-05,-0.133310157575,1.94761071845e-05,-0.0611426476668,4.60163084804e-05,-0.0272453845023,0.00080420547571
